event_id,locality,institutional_level,P2_authority,P2_authority_time,P2_request,P2_request_time,P2_dispatch,P2_dispatch_time,P2_arrival,P2_arrival_time,P2_deployment,P2_deployment_time,P2_field_action,P2_field_action_time,local_impact_reference,P2_temporal_relation,time_precision,source_id,exact_basis
AHR2021,Altenahr,FEDERAL(Bundeswehr),Alarmstufe 5 enabled a request for Bundeswehr support,2021-07-14T22:04,TEL alerted the Kreisverbindungskommando; support was formally requested (angefordert),21:00~22:00 / ≤23:15,im Zulauf,≤2021-07-14T23:15,Kräfte eingetroffen,2021-07-15T02:00,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,Gauge exceeded its highest recorded level at 2021-07-14T18:15,POST,EXACT,DE-LT-RLP-UA18-1|DE-GSTA-20251027,"p.1589 ""Kräfte seien dann um 02.00 Uhr nachts eingetroffen"""
AHR2021,Bad Neuenahr-Ahrweiler,FEDERAL(Bundeswehr),Same mobilisation episode as above,2021-07-14T22:04,Same mobilisation episode as above,21:00~22:00 / ≤23:15,im Zulauf,≤2021-07-14T23:15,eingetroffen,2021-07-15T02:00,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,Flood wave reached the locality at 2021-07-14T23:00 (GStA p.1208),POST,EXACT,DE-GSTA-20251027,"""Um 23.00 Uhr habe die Flutwelle bereits die Ortslage BNA erreicht"""
AHR2021,Sinzig,FEDERAL(Bundeswehr) / LOCAL(Feuerwehr),Same mobilisation episode as above,2021-07-14T22:04,Same mobilisation episode as above,21:00~22:00 / ≤23:15,im Zulauf,≤2021-07-14T23:15,Bundeswehr forces arrived (eingetroffen); Feuerwehr Remagen reached In den Ahrwiesen,2021-07-15T02:00,Fire-service evacuation mission,2021-07-15T02:00,"Approximately 500 evacuations (Sportplatz, Grüner Weg, Am Teich and Kripper Strasse)",2021-07-15T00:00~02:11,Meaningful water arrival at approximately 2021-07-15T02:00 (Gißler reconstruction),IMPACT_OVERLAP,APPROXIMATE,DE-GSTA-20251027,"""Von am 15.07.2021 um etwa 00.00 Uhr begonnenen und bis 02:11 Uhr fortgeführten Evakuierungen von rund 500 Personen"""
VALENCIA2024,Utiel-Requena,NATIONAL(UME),Ministry of Defence instructed the UME to prepare for intervention,2024-10-29T09:00,Formal Generalitat request (Government Delegation announcement at 15:21),2024-10-29T15:41,Reconnaissance element / First Battalion / intervention element of 55 personnel and 23 assets,15:28 / 15:42 / 16:36,Arrival at the operational area,2024-10-29T17:35,Rescue operations commenced,2024-10-29T17:55,Rescue operations,2024-10-29T17:55~,Flooding progressing during the morning (A-3 road closure at 10:35),POST,EXACT,ES-MDEF-UME|ES-LaMoncloa-20241127|ES-Senado-20241113,Ministry of Defence operational chronology takes precedence; the Prime Minister's statement is corroborating evidence
VALENCIA2024,Poyo / L'Horta Sud,NATIONAL(UME),Same mobilisation episode as above,2024-10-29T09:00,"Request for approximately 1,000 additional UME personnel",2024-10-29T20:36,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED (afternoon to night; exact primary-source time unavailable),UNRESOLVED,UNKNOWN,L3,Not admissible to reuse UME activity documented for Utiel-Requena (15:28-17:55) as P2 evidence for this locality
LEKIMA2019,Zhejiang Province,NATIONAL (National Flood Control Headquarters) / PROVINCIAL (Provincial Flood Control Headquarters),National Flood Control Headquarters raised the response to Level II and ordered advance transfer from risk areas and pre-positioning of rescue capacity,2019-08-09T16:00,UNRESOLVED,UNRESOLVED,"More than 36,000 fire-rescue personnel, over 8,400 fire vehicles and approximately 1.53 million items of equipment pre-positioned",2019-08-09,Deployment completed at 48 staging locations,2019-08-09,UNRESOLVED,UNRESOLVED,"Cumulative fire-service response: approximately 42,000 personnel, 6,382 rescue operations and 12,447 people rescued or transferred; cumulative total, not first mobilisation",As of 2019-08-13T16:00,Landfall at Wenling at 2019-08-10T01:45,PRE (relative to pre-positioning),DATE_ONLY,CN-MEM|CN-ZJ-YJT,Time of the first additional mobilisation after landfall remains UNRESOLVED
BLACKSUMMER2019,Whole season (no single event-wide T0),FEDERAL(ADF),"Governor-General approved compulsory reserve call-out under Defence Act 1903 s.28; this was a surge, not the first mobilisation",2020-01-04,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,"Operation Bushfire Assist: 8,236 ADF personnel including 2,556 reservists and 469 international personnel",2019-09-06,"More than 1,100 people evacuated from Mallacoota by sea and air (HMAS Choules and MV Sycamore)",Early January 2020,UNRESOLVED - multiple fire phases,UNRESOLVED,DATE_ONLY,AU-RC-NNDA-CH5|CH7,Royal Commission ch. 7 support period: 2019-09-06 to 2020-03-26
MAUI2023,Lahaina,STATE(HI)/COUNTY(Maui),"State Emergency Proclamation signed by the Acting Governor authorised National Guard mobilisation; this was authority, not actual mobilisation",2023-08-08 (date only). The 15:21 time derives from secondhand Phase One extraction; the original row was not obtained and the time is not treated as exact primary evidence,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,Approximately 50 Hawaii National Guard personnel actually mobilised,2023-08-09 (DATE_ONLY),UNRESOLVED,UNRESOLVED,Afternoon fire re-ignition at 14:55 and rapid spread through populated areas; locality-specific arrival times unavailable from Phase One,POST,DATE_ONLY,DIRECT_PRIMARY_VERIFIED (signed state Proclamation PDF) + DIRECT_PRIMARY_VERIFIED (HIDOD),"The proclamation date follows the signed original Proclamation PDF (8 Aug), not the Maui County AAR timeline row placed under 9 Aug. Authority on 8 Aug is kept separate from actual mobilisation on 9 Aug"
ZHENGZHOU2021,Mountainous districts,NATIONAL (PLA/People's Armed Police),Central leadership directed deployment of the PLA and People's Armed Police,UNRESOLVED (time not stated in the investigation report),UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,PLA and People's Armed Police deployed (time not stated),UNRESOLVED (time not stated in the investigation report),UNRESOLVED,UNRESOLVED,More than 90% of deaths and missing persons in the mountainous districts concentrated between 13:00 and 15:00 on 2021-07-20,UNRESOLVED,UNKNOWN,CN-STATECOUNCIL-20220121,The investigation report documents deployment but does not state the time
ZHENGZHOU2021,Urban core,CITY (Zhengzhou),UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,"Approximately 98,000 people transferred downstream of Guojiazui Reservoir; no dam-break fatalities reported for this sub-unit",Before reservoir overtopping at 2021-07-21T00:40,Afternoon to evening of 20 July (metro flooding around 17:00; North Tunnel inundation around 17:30),PRE (relative to Guojiazui sub-unit impact),APPROXIMATE,CN-STATECOUNCIL-20220121,Not admissible to combine this positive sub-unit with the city-wide failure outcome
WJAPAN2018,Mabi (Kurashiki),NATIONAL(FDMA),UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,"Peak evacuation-shelter occupancy of approximately 42,000 people",2018-07-07,Oda River levee breach before dawn on 2018-07-07,UNRESOLVED,DATE_ONLY,JP-CAO-WG1,Peak shelter count is not admissible as evidence of pre-impact exposure reduction. Emergency Fire Response Team dispatch time remains UNRESOLVED
HAGIBIS2019,National,NATIONAL (FDMA/Japan Self-Defense Forces),UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,Emergency Fire Response Teams placed on deployment readiness,2019-10-12T15:30,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,"Peak evacuation-shelter occupancy exceeding 237,000 people",October 2019,Izu Peninsula landfall before 19:00 on 2019-10-12,PRE (relative to deployment readiness),EXACT,JP-CAO-BOUSAI-R02|L1_secondhand(FDMA),Peak shelter count is not admissible as evidence of pre-impact exposure reduction. Self-Defense Forces disaster-dispatch timing remains UNRESOLVED
BCHEAT2021,British Columbia province-wide,HEALTH_SYSTEM(PHSA/BCEHS),UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,PHSA 24/7 Emergency Coordination Centre activated; BCEHS managers provided field support and management staff were redeployed,2021-06-25~07-01,UNRESOLVED,UNRESOLVED,heat episode 06-25~07-01 · peak mortality 06-28~29 · peak 911 06-28,IMPACT_OVERLAP,DATE_ONLY,PRIMARY_SOURCE_SECONDHAND_EXTRACTION,"Ambulance deployment rate changed from 92% on 23 Jun to 74% on 28 Jun and 93% on 1 Jul (Table 13, p.40); the record documents performance degradation rather than a simple capacity increase"
OSONG2023,Gungpyeong 2 Underpass,PROVINCIAL (Chungcheongbuk-do) / MUNICIPAL (Cheongju),UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,Chungcheongbuk-do Fire Headquarters deployed to the inundation scene; the only agency documented as dispatching to the site,UNRESOLVED,UNRESOLVED,UNRESOLVED,Nine people rescued; detailed timing and operational scale unresolved,UNRESOLVED,Water entered at 2023-07-15T08:27; full inundation at 08:40,UNRESOLVED,UNKNOWN,KR-OPM-PR-20230728|L4,The 119 integrated situation room did not implement necessary measures such as rapid deployment of available personnel and equipment (original government release)
