event_id,sub_unit,variable,value,time_start,time_end,time_precision,evidence_status,execution_state,actionability_scope,directive_strength,source_id,source_section,exact_basis
AHR2021,KREIS,institutional_activation,TEL assumed command authority and declared RAEP Alarmstufe 4,2021-07-14T17:40,,EXACT,OBSERVED,COMPLETED,,,GSTA-KO-20251027,IV.4.b,Transfer of command authority and declaration of stage 4
AHR2021,KREIS,authority_seeking_bundeswehr,Efforts to organise Bundeswehr and US military support under Stufe 4,2021-07-14T17:40,2021-07-14T22:04,WINDOW,OBSERVED,INITIATED,,,GSTA-KO-20251027,IV.4.a,vielfaeltige Bemuehungen unternommen worden
AHR2021,KREIS,resource_request_bundeswehr,TEL alerted the Kreisverbindungskommando,2021-07-14T21:00,2021-07-14T22:00,WINDOW,OBSERVED,COMPLETED,,,DE-LT-RLP-UA18-1,Witness examination,Witness Weber: 21:00 and 22:00; witness Deutsch: telephone call at 21:25 and TEL arrival at about 22:00 [SECONDHAND_EXTRACTION: original UA 18/1 not directly audited]
AHR2021,KREIS,command_escalation,Alarmstufe 5 / Katastrophenfall declared,2021-07-14T22:04,,EXACT,OBSERVED,COMPLETED,,,GSTA-KO-20251027,IV.4.b,Um 22.04 Uhr ordnete die Technische Einsatzleitung an
AHR2021,KREIS,protective_action_order,Limited horizontal evacuation ordered within a 50-m corridor on both sides of the Ahr,2021-07-14T22:04,,EXACT,OBSERVED,INITIATED,HORIZONTAL_EVACUATION,ORDER,GSTA-KO-20251027,IV.4.b,"Limited horizontal evacuation within a 50-m corridor for Bad Neuenahr-Ahrweiler, Sinzig and Bad Bodendorf"
AHR2021,KREIS,protective_action_order,Access to all bridges in Bad Neuenahr-Ahrweiler prohibited,2021-07-14T22:04,,EXACT,OBSERVED,COMPLETED,ACCESS_PREVENTION,ORDER,GSTA-KO-20251027,IV.4.b,Included in the same order
AHR2021,KREIS,T_public_order_transmission,Notification by direct visit and telephone from the Landrat,2021-07-14T22:15,,APPROXIMATE,OBSERVED,COMPLETED,HORIZONTAL_EVACUATION,ORDER,DE-LT-RLP-UA18-1,PDF p.1162-1163,Witness S.H. and witness M.L.A. [SECONDHAND_EXTRACTION: original UA 18/1 not directly audited]
AHR2021,KREIS,T_public_order_pressemeldung,Second press release included information on the 50-m evacuation measure,2021-07-14T22:30,2021-07-14T22:45,WINDOW,OBSERVED,COMPLETED,HORIZONTAL_EVACUATION,ORDER,DE-LT-RLP-UA18-1,PDF p.1056,[SECONDHAND_EXTRACTION: original UA 18/1 not directly audited]
AHR2021,KREIS,katwarn_execution_request,KATWARN dissemination requested,2021-07-14T22:37,,EXACT,UNRESOLVED,UNRESOLVED,,,RELAYED_UNVERIFIED,Unverified,original UA 18/1 source location not directly audited; relayed value retained as unresolved
AHR2021,KREIS,order_confirmation,Witness Seul confirmed the 50-m decision with the Wehrleiter,2021-07-14T23:00,,APPROXIMATE,OBSERVED,COMPLETED,,,DE-LT-RLP-UA18-1,PDF p.1057,[SECONDHAND_EXTRACTION: original UA 18/1 not directly audited]
