event_id,country,year,hazard,S1_status,S2_status,S3_status,S3_execution_state,S4_status,S4_execution_state,S5_status,S5_execution_state,break_stage,provenance,P1_event,P1_time,P1_time_precision,P1_institutional_level,P1_impact_reference,P1_temporal_relation,core_class,core_basis,core_caveat,evidence_grade,break_provenance_marker
WJAPAN2018,Japan,2018,rainfall flood landslide,OBSERVED,OBSERVED,OBSERVED,,OBSERVED,,OBSERVED,PARTIAL,S4_to_S5_incomplete_protection_conversion,DIRECT_PRIMARY_VERIFIED (Cabinet Office WG / MLIT subcommittee / FDMA P1),FDMA Disaster Response Office first- to third-level structures,2018-07-03T11:30 / 07-06T09:00 / 07-06T20:30,EXACT,NATIONAL (FDMA),UNRESOLVED - multi-site regional impact window,UNRESOLVED,CORE_CANDIDATE_MABI,"Peak evacuation-shelter occupancy approximately 42,000 on 7 Jul (Cabinet Office WG; independent of casualty data)",Not admissible as evidence of pre-impact exposure reduction because this is a post/peak shelter count,DIRECT_PRIMARY_VERIFIED: Cabinet Office WG material 2 + MLIT subcommittee material 2-1,solid
HAGIBIS2019,Japan,2019,typhoon river flood,OBSERVED,OBSERVED,OBSERVED,,OBSERVED,PARTIAL,OBSERVED,,UNRESOLVED,DIRECT_PRIMARY_VERIFIED (Cabinet Office Disaster Management White Paper / FDMA P1),FDMA third-level emergency structure plus Emergency Fire Response Team deployment readiness,2019-10-12T15:30,EXACT,NATIONAL (FDMA),Izu Peninsula landfall before 19:00 on 2019-10-12,PRE,CORE_CANDIDATE,"Peak evacuation-shelter occupancy exceeding 237,000 (Cabinet Office Disaster Management White Paper; independent of casualty data)",Not admissible as evidence of pre-impact exposure reduction because this is a peak shelter count,DIRECT_PRIMARY_VERIFIED: Cabinet Office Disaster Management White Paper R02 web text,none
LEKIMA2019,China,2019,typhoon rainfall flood,OBSERVED,OBSERVED,OBSERVED,,OBSERVED,,OBSERVED,,UNRESOLVED,DIRECT_PRIMARY_VERIFIED (MEM / Zhejiang emergency management) + SECONDARY_CORROBORATION (provincial flood-control statistics),Zhejiang Provincial Flood Control Headquarters raised typhoon response from Level II at 08:00 to Level I at 11:50 on 9 Aug; National Flood Control Headquarters Level II at 16:00,2019-08-09T11:50,EXACT,PROVINCIAL (Zhejiang Provincial Flood Control Headquarters),"Landfall at Wenling, Zhejiang at 2019-08-10T01:45",PRE (13 h 55 min before landfall),CORE_STRONG,"705,835 people transferred and 113,404 accommodated 4 h 15 min before landfall (provincial flood-control statistics; independent of casualty data)",Not admissible to calculate a ratio because equivalence between transferred-person and emergency-relocation categories is unresolved,DIRECT_PRIMARY_VERIFIED: MEM + Zhejiang emergency management / SECONDARY_CORROBORATION: provincial flood-control statistics,none
BLACKSUMMER2019,Australia,2019,wildfire,UNRESOLVED,UNRESOLVED,OBSERVED,PARTIAL,UNRESOLVED,,OBSERVED,PARTIAL,UNRESOLVED,DIRECT_PRIMARY_VERIFIED (Royal Commission ch. 7),Queensland state of fire emergency (selected first state-level declaration); supporting references: NSW first declaration 11 Nov 2019 and Victoria state of disaster 2 Jan 2020,2019-11-09,DATE_ONLY,STATE (QLD/NSW/VIC/ACT),UNRESOLVED - season contains multiple fire phases,UNRESOLVED,MECHANISM_CASE_MALLACOOTA,"More than 1,100 people evacuated from Mallacoota by sea and air plus 527 evacuees received (Royal Commission Box 7.1, Table 3)",Not admissible as evidence of pre-impact exposure reduction because the maritime evacuation occurred after or during local impact,DIRECT_PRIMARY_VERIFIED: Royal Commission chapters 5 and 7 full text,none
ZHENGZHOU2021,China,2021,extreme urban rainfall,OBSERVED,OBSERVED,OBSERVED,PARTIAL,OBSERVED,PARTIAL,OBSERVED,PARTIAL,primary=S3_institutional_activation_delay | secondary=S4_protective_action_execution,DIRECT_PRIMARY_VERIFIED,Zhengzhou municipal Level I emergency response activated (Dengfeng: 19 Jul 23:30; Xingyang: 21 Jul 04:00),2021-07-20T16:30,EXACT,MUNICIPAL/CITY (Zhengzhou),Mountainous-district fatalities concentrated 13:00-15:00 / urban core impacts afternoon to evening on 20 Jul,Mountainous districts=POST / urban core=IMPACT_OVERLAP,SPLIT_SUBUNIT_CASE,"Approximately 98,000 people transferred downstream of Guojiazui Reservoir; no dam-break fatalities in the sub-unit (State Council investigation report)","Not admissible to combine the approximately 98,000-person Guojiazui transfer with the city-wide failure outcome",DIRECT_PRIMARY_VERIFIED: State Council investigation report full text,solid
AHR2021,Germany,2021,flash flood,OBSERVED,OBSERVED,OBSERVED,,OBSERVED,PARTIAL,OBSERVED,PARTIAL,S4_protective_action_specification_deficit (scope|timing|content|capacity),"DIRECT_PRIMARY_VERIFIED (GStA full text / Ahrweiler district) + PRIMARY_SOURCE_SECONDHAND_EXTRACTION (UA18/1, two items)",Alarmstufe 5 / Katastrophenfall (Landrat); Stufe 4 at 17:40,2021-07-14T22:04,EXACT,DISTRICT/COUNTY (Landkreis Ahrweiler),Altenahr 18:15 / Bad Neuenahr-Ahrweiler ~23:00 / Sinzig ~02:00,Altenahr=POST / Bad Neuenahr-Ahrweiler=PRE / Sinzig=PRE (approximate local-impact reference),CORE_CANDIDATE_SUBUNIT,"GStA: approximately 500 actual evacuations from Sportplatz, Grüner Weg, Am Teich and Kripper Strasse, beginning around 00:00 and continuing until 02:11 on 15 Jul 2021; human action OBSERVED","The approximately 2,000-person planning target is separate. Not admissible to treat all approximately 500 evacuees as pre-impact exposure reduction because impact timing differs by locality; aggregate pre-impact exposure reduction remains UNRESOLVED",DIRECT_PRIMARY_VERIFIED: GStA + Ahrweiler district / PRIMARY_SOURCE_SECONDHAND_EXTRACTION: UA18/1 (two items),hatched
BCHEAT2021,Canada,2021,extreme heat,OBSERVED,OBSERVED,OBSERVED,,OBSERVED,PARTIAL,UNRESOLVED,,UNRESOLVED,DIRECT_PRIMARY_VERIFIED (BC Coroners Service DRP / BC government / PHSA-BCEHS P1),PHSA 24/7 Emergency Coordination Centre activated plus BCEHS management field support and redeployment,2021-06-25 to 2021-07-01 (exact activation time unresolved),DATE_ONLY,HEALTH_SYSTEM (PHSA/BCEHS); not a province-wide disaster-command escalation,heat episode 2021-06-25/07-01 · peak mortality 06-28/06-29,IMPACT_OVERLAP,UNRESOLVED,The report does not provide measured evidence of protective reach,Measured evidence of protective reach unavailable,DIRECT_PRIMARY_VERIFIED: BC Coroners Service DRP full text + BC government release,none
OSONG2023,South Korea,2023,rainfall underpass inundation,OBSERVED,OBSERVED,OBSERVED,,VERIFIED_0,NOT_EXECUTED,UNRESOLVED,,S4_protective_action_execution,DIRECT_PRIMARY_VERIFIED,Chungcheongbuk-do stage-3 emergency duty activated (Cheongju stage 3 at 2023-07-15T02:15),2023-07-14T16:40,EXACT,PROVINCIAL (Chungcheongbuk-do),Gungpyeong 2 Underpass inflow at 2023-07-15T08:27 / full inundation at 08:40,PRE (15 h 47 min before inflow),UNRESOLVED,Number of vehicles passing through the focal exposure window is unresolved; casualty count is not used as the denominator,Fourteen deaths and 16 injuries are contextual only; 17 vehicles are not an exposure denominator and denominator search was closed,DIRECT_PRIMARY_VERIFIED: Office for Government Policy Coordination briefing transcript + original release,solid
MAUI2023,United States,2023,wind-driven wildfire,OBSERVED,OBSERVED,OBSERVED,,OBSERVED,PARTIAL,UNRESOLVED,,primary=S2/T_public_authoritative_warning_inadequacy | secondary=S4_to_S5_evacuation_coordination_conversion,DIRECT_PRIMARY_VERIFIED (Hawaii AG/FSRI Phase Two - alert systems did not sufficiently inform residents of the threat) + DIRECT_PRIMARY_VERIFIED (Maui AAR P1) + DIRECT_PRIMARY_VERIFIED (HIDOD P2 actual),Maui EOC full activation,2023-08-08T16:30,EXACT,COUNTY (Maui EOC),Lahaina afternoon fire re-ignition at 14:55 / locality-specific fire-arrival times UNRESOLVED,IMPACT_OVERLAP,UNRESOLVED,Locality-specific evacuation completion relative to fire arrival unavailable,"The unavailable Phase One spreadsheet remains a timing blocker for strict pre-impact protection but does not affect the break assignment, which is directly supported by Phase Two",DIRECT_L1_PHASE2 + DIRECT_L1_MAUI_AAR + DIRECT_L1_HIDOD,solid
VALENCIA2024,Spain,2024,extreme rainfall flash flood,OBSERVED,OBSERVED,UNRESOLVED,,OBSERVED,PARTIAL,UNRESOLVED,,UNRESOLVED,"DIRECT_PRIMARY_VERIFIED (AEMET, meteorological evidence only) + LOWER_TIER_RESPONSE_EVIDENCE (response-side evidence)",Situación Operativa 1 (P1a) / SO2 at 14:50 (P1b); CECOPI activation at 17:00 retained separately as a coordination structure,2024-10-29T14:00,EXACT,"REGIONAL (Generalitat, Situación Operativa)",Utiel-Requena morning / L'Horta Sud afternoon to night (exact time UNRESOLVED),Utiel-Requena=POST / L'Horta Sud=UNRESOLVED,UNRESOLVED,Evidence of actual resident movement unavailable,Not admissible to reuse UME activity documented for Utiel-Requena as local P2 for Poyo or L'Horta Sud. Candidate authority-to-public warning-delay hypothesis is not assigned as a break because response-side evidence remains lower tier,DIRECT_PRIMARY_VERIFIED: AEMET full text (meteorological evidence only) + LOWER_TIER_RESPONSE_EVIDENCE,none
BLATTEN2025,Switzerland,2025,rock-glacier collapse,OBSERVED,OBSERVED,OBSERVED,,OBSERVED,,OBSERVED,,none (chain connected),DIRECT_PRIMARY_VERIFIED (VS Richtlinie 2010 + VS 28 May official release + VS Fahrplan 2025-09-03),"Cantonal besondere Lage declaration, a later higher-level escalation following the full evacuation on 19 May",Morning of 2025-05-28,APPROXIMATE_MORNING_BEFORE_15:24,CANTONAL (Staatsrat); preceding S3 was REGIONAL/COMMUNAL,"Collapse at 2025-05-28T15:24 (SED seismic signal, magnitude approximately 3.1)",PRE,CORE_STRONG,"Full preventive evacuation of Blatten and Ried ordered on 19 May; approximately 300 people actually evacuated, nine days before the 28 May 15:24 collapse","Not admissible to use the cumulative 365-person count after 28 May, which includes neighbouring areas, as a pre-impact exposure count. Primary evidence for the 108 (92+16) figure was not obtained and search was closed. Blatten-specific pre-event hazard-map adequacy remains UNRESOLVED; connected-chain status does not imply complete hazard mapping",DIRECT_L1 + L2,solid
