event_id,analytic_element,sub_unit,classification,source_id,institution,document_title,document_date,url,source_section_or_page,source_tier,verification_status
WJAPAN2018,S1 hazard knowledge,event,OBSERVED,JP-CAO-WG1,Cabinet Office (Japan),"Working Group on evacuation from the July 2018 heavy rainfall disaster, 1st meeting, document 2",2018-10-16,https://www.bousai.go.jp/fusuigai/suigaiworking/,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,S1 hazard knowledge,event,OBSERVED,JP-FDMA,Fire and Disaster Management Agency (Japan),Damage and response reports,2018-2019,,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,S2 actionable information,event,OBSERVED,JP-CAO-WG1,Cabinet Office (Japan),"Working Group on evacuation from the July 2018 heavy rainfall disaster, 1st meeting, document 2",2018-10-16,https://www.bousai.go.jp/fusuigai/suigaiworking/,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,S2 actionable information,event,OBSERVED,JP-FDMA,Fire and Disaster Management Agency (Japan),Damage and response reports,2018-2019,,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,S3 institutional activation,event,OBSERVED,JP-CAO-WG1,Cabinet Office (Japan),"Working Group on evacuation from the July 2018 heavy rainfall disaster, 1st meeting, document 2",2018-10-16,https://www.bousai.go.jp/fusuigai/suigaiworking/,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,S3 institutional activation,event,OBSERVED,JP-FDMA,Fire and Disaster Management Agency (Japan),Damage and response reports,2018-2019,,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,S4 protective action,event,OBSERVED,JP-CAO-WG1,Cabinet Office (Japan),"Working Group on evacuation from the July 2018 heavy rainfall disaster, 1st meeting, document 2",2018-10-16,https://www.bousai.go.jp/fusuigai/suigaiworking/,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,S4 protective action,event,OBSERVED,JP-FDMA,Fire and Disaster Management Agency (Japan),Damage and response reports,2018-2019,,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,S5 human protective action,event,OBSERVED / PARTIAL,JP-CAO-WG1,Cabinet Office (Japan),"Working Group on evacuation from the July 2018 heavy rainfall disaster, 1st meeting, document 2",2018-10-16,https://www.bousai.go.jp/fusuigai/suigaiworking/,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,S5 human protective action,event,OBSERVED / PARTIAL,JP-FDMA,Fire and Disaster Management Agency (Japan),Damage and response reports,2018-2019,,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,P1 institutional activation,event,"Fire and Disaster Management Agency, escalation to third-level structure (national) [2018-07-03T11:30 / 07-06T09:00 / 07-06T20:30]",JP-CAO-WG1,Cabinet Office (Japan),"Working Group on evacuation from the July 2018 heavy rainfall disaster, 1st meeting, document 2",2018-10-16,https://www.bousai.go.jp/fusuigai/suigaiworking/,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,P1 institutional activation,event,"Fire and Disaster Management Agency, escalation to third-level structure (national) [2018-07-03T11:30 / 07-06T09:00 / 07-06T20:30]",JP-FDMA,Fire and Disaster Management Agency (Japan),Damage and response reports,2018-2019,,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,break primary,event,S4_to_S5_incomplete_protection_conversion,JP-CAO-WG1,Cabinet Office (Japan),"Working Group on evacuation from the July 2018 heavy rainfall disaster, 1st meeting, document 2",2018-10-16,https://www.bousai.go.jp/fusuigai/suigaiworking/,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,break primary,event,S4_to_S5_incomplete_protection_conversion,JP-FDMA,Fire and Disaster Management Agency (Japan),Damage and response reports,2018-2019,,,DIRECT_PRIMARY_VERIFIED,Verified against source text
WJAPAN2018,strict pre-impact protection,event,Unresolved,JP-CAO-WG1,Cabinet Office (Japan),"Working Group on evacuation from the July 2018 heavy rainfall disaster, 1st meeting, document 2",2018-10-16,https://www.bousai.go.jp/fusuigai/suigaiworking/,,DIRECT_PRIMARY_VERIFIED,Verified against source text
HAGIBIS2019,S1 hazard knowledge,event,OBSERVED,JP-CAO-BOUSAI-R02,Cabinet Office (Japan),"White Paper on Disaster Management 2020, special feature ch.1 s.1",2020,https://www.bousai.go.jp/kaigirep/hakusho/r02/honbun/0b_1s_01_03.html,,DIRECT_PRIMARY_VERIFIED,Verified against source text
HAGIBIS2019,S1 hazard knowledge,event,OBSERVED,JP-FDMA,Fire and Disaster Management Agency (Japan),Damage and response reports,2018-2019,,,DIRECT_PRIMARY_VERIFIED,Verified against source text
HAGIBIS2019,S2 actionable information,event,OBSERVED,JP-CAO-BOUSAI-R02,Cabinet Office (Japan),"White Paper on Disaster Management 2020, special feature ch.1 s.1",2020,https://www.bousai.go.jp/kaigirep/hakusho/r02/honbun/0b_1s_01_03.html,,DIRECT_PRIMARY_VERIFIED,Verified against source text
HAGIBIS2019,S2 actionable information,event,OBSERVED,JP-FDMA,Fire and Disaster Management Agency (Japan),Damage and response reports,2018-2019,,,DIRECT_PRIMARY_VERIFIED,Verified against source text
HAGIBIS2019,S3 institutional activation,event,OBSERVED,JP-CAO-BOUSAI-R02,Cabinet Office (Japan),"White Paper on Disaster Management 2020, special feature ch.1 s.1",2020,https://www.bousai.go.jp/kaigirep/hakusho/r02/honbun/0b_1s_01_03.html,,DIRECT_PRIMARY_VERIFIED,Verified against source text
HAGIBIS2019,S3 institutional activation,event,OBSERVED,JP-FDMA,Fire and Disaster Management Agency (Japan),Damage and response reports,2018-2019,,,DIRECT_PRIMARY_VERIFIED,Verified against source text
HAGIBIS2019,S4 protective action,event,OBSERVED / PARTIAL,JP-CAO-BOUSAI-R02,Cabinet Office (Japan),"White Paper on Disaster Management 2020, special feature ch.1 s.1",2020,https://www.bousai.go.jp/kaigirep/hakusho/r02/honbun/0b_1s_01_03.html,,DIRECT_PRIMARY_VERIFIED,Verified against source text
HAGIBIS2019,S4 protective action,event,OBSERVED / PARTIAL,JP-FDMA,Fire and Disaster Management Agency (Japan),Damage and response reports,2018-2019,,,DIRECT_PRIMARY_VERIFIED,Verified against source text
HAGIBIS2019,S5 human protective action,event,OBSERVED,JP-CAO-BOUSAI-R02,Cabinet Office (Japan),"White Paper on Disaster Management 2020, special feature ch.1 s.1",2020,https://www.bousai.go.jp/kaigirep/hakusho/r02/honbun/0b_1s_01_03.html,,DIRECT_PRIMARY_VERIFIED,Verified against source text
