Event,Actual human action,Human-action evidence,Timing relative to local impact,Casualty-independent exposure evidence,Exposure before local impact,Analytical role,Evidential restriction,Source
West Japan 2018,Observed,"Peak shelter population of about 42,000 (2018-07-07)",A peak count that cannot be resolved against the Oda River levee breach in the early hours of 7 July: unresolved,Observed (separate from casualty counts),Unresolved,Candidate case (Mabi sub-unit); pre-impact timing not decomposed,"Not admissible as evidence of pre-impact exposure reduction, because the count is temporally ambiguous; reconstruction at the Mabi sub-unit level would be required",JP-CAO-WG1
Hagibis 2019,Observed,"Peak shelter population exceeding 237,000",A peak count that cannot be resolved against landfall before 19:00 on 12 October: unresolved,Observed,Unresolved,Candidate case; pre-impact timing not decomposed,"Not admissible as evidence of pre-impact exposure reduction, because the count is temporally ambiguous",JP-CAO-BOUSAI-R02
Lekima 2019,Observed,"705,835 people relocated province-wide and 113,404 accommodated in shelters as of 21:30 on 9 August",4 h 15 min before landfall (2019-08-10 01:45): pre-impact,"Observed (provincial flood-control statistics, separate from casualty counts)",Yes,Pre-impact protection reference case,"Not admissible for computing ratios or percentages, because the relocation count of 9 August and the emergency relocation-and-shelter count of 11 August (1.079 million) are not established as the same measure",CN-ZJ-YJT|CN-MEM
Black Summer 2019–20,Observed,"Over 1,100 people evacuated from Mallacoota by sea and air (HMAS Choules, MV Sycamore); 527 evacuees accommodated",Evacuation occurred after the fire had already isolated the town: post-impact or impact-overlapping,Observed,No,Mechanism case (Mallacoota); documented human action is post-impact,"Not admissible as a pre-impact exposure count, because the evacuation occurred after or during local impact; retained as mechanism evidence only",AU-RC-NNDA-CH5|CH7
Zhengzhou 2021,Observed,"Relocation of 98,000 people downstream of Guojiazui Reservoir, with no dam failure or casualties","Before overtopping at 2021-07-21 00:40: pre-impact, limited to this sub-unit",Observed,"Yes, limited to the Guojiazui sub-unit",Split sub-unit case; evidence differs between districts,"Not admissible as an event-wide outcome, because the observation applies only to the Guojiazui sub-unit and cannot be combined with the city-wide toll",CN-STATECOUNCIL-20220121
Ahr valley 2021,Observed,Prosecutorial review records evacuations of about 500 people beginning around 00:00 and continuing until 02:11 on 15 July 2021,"Impact-overlapping relative to Sinzig (about 02:00); the Bad Bodendorf evacuations at 00:07, 00:18 and 00:30 are assessed separately against that locality",Observed (independent of the 135 recorded deaths),Locality-dependent,Candidate case (sub-unit level); aggregate pre-impact reduction unresolved,"Not admissible in full as a pre-impact exposure reduction, because locality-specific impact times differ; the planned figure of about 2,000 is recorded separately and the aggregate remains unresolved",DE-GSTA-20251027
BC heat dome 2021,Unresolved,The 308 deaths (50%) discovered during wellness checks are not evidence of protective reach,Unresolved,Unresolved,Unresolved,Comparison case; adjudication unresolved,Not admissible for inferring failure of protective reach from decedent characteristics such as living alone (56.1%) or absence of air conditioning (66.9%),BCCS-DRP-20220607
Osong 2023,Unresolved,Nine people rescued (tertiary source); no evidence of pre-impact avoidance behaviour by residents or drivers,Unresolved,Unresolved,No,Comparison case; adjudication unresolved,"The 17 submerged vehicles are not an exposure denominator; the recorded 14 deaths and 16 injuries are retained as context only, and the search for a denominator was discontinued",KR-OPM-PR-20230728|TERTIARY_SOURCE
Maui 2023,Unresolved,Unresolved — locality-specific evacuation completion not obtained,Outstanding limitation: the timing of block-level evacuation completion relative to fire arrival is not established,Unresolved,Unresolved,Comparison case; adjudication unresolved,Further retrieval of the Phase 1 timeline was discontinued; the break assignment rests on the published Phase 2 findings,US-HIAG-FSRI-PHASE2
Valencia 2024,Unresolved,Rescue operations by the Military Emergency Unit are documented; evidence of actual movement by residents was not obtained,Unresolved,Unresolved,Unresolved,Comparison case; adjudication unresolved,"Not admissible for Poyo or L'Horta Sud, because the recorded operations relate to Utiel-Requena",ES-AEMET|ES-MDEF-UME
Blatten 2025,Observed,"Full precautionary evacuation ordered for Blatten and Ried on 19 May; about 300 people actually evacuated (cantonal roadmap, 3 September 2025)",Nine days before the collapse (2025-05-28 15:24): pre-impact,Observed (counted independently of the single fatality),Yes,Pre-impact protection reference case,"The cumulative figure of 365 recorded on 30 May, which includes neighbouring Wiler and Kippel, is not admissible as a pre-impact exposure count; the partial figure of 108 (92 residents and 16 guests) is not confirmed by a primary source",CH-VS-FAHRPLAN-20250903|CH-VS-LAGEBERICHT-20250530
