event_id,sub_unit,variable,value,time_start,time_end,time_precision,evidence_status,execution_state,actionability_scope,directive_strength,source_id,source_section,exact_basis
AHR2021,KREIS,institutional_activation,TEL assumed command; RAEP alarm level 4 in force,2021-07-14T17:40,,EXACT,OBSERVED,COMPLETED,,,GSTA-KO-20251027,IV.4.b,"Transfer of command and entry into force of alarm level 4, as announced"
AHR2021,KREIS,authority_seeking_bundeswehr,Efforts to organise federal and US military support during alarm level 4,2021-07-14T17:40,2021-07-14T22:04,WINDOW,OBSERVED,INITIATED,,,GSTA-KO-20251027,IV.4.a,vielfaeltige Bemuehungen unternommen worden
AHR2021,KREIS,resource_request_bundeswehr,TEL alerted the Bundeswehr district liaison command,2021-07-14T21:00,2021-07-14T22:00,WINDOW,OBSERVED,COMPLETED,,,DE-LT-RLP-UA18-1,Witness examination,"Witness Weber: 21:00 and 22:00; witness Deutsch: telephone call 21:25, arrival at the TEL about 22:00 [Secondhand extraction: the original inquiry report was not directly audited]"
AHR2021,KREIS,command_escalation,Declaration of alarm level 5 and disaster situation,2021-07-14T22:04,,EXACT,OBSERVED,COMPLETED,,,GSTA-KO-20251027,IV.4.b,Um 22.04 Uhr ordnete die Technische Einsatzleitung an
AHR2021,KREIS,protective_action_order,Order for horizontal evacuation limited to a 50 m corridor on either bank of the Ahr,2021-07-14T22:04,,EXACT,OBSERVED,INITIATED,HORIZONTAL_EVACUATION,ORDER,GSTA-KO-20251027,IV.4.b,"Applying to Bad Neuenahr-Ahrweiler, Sinzig and Bad Bodendorf begrenzte horizontale Evakuierung in einem Korridor von 50m"
AHR2021,KREIS,protective_action_order,Access to all bridges in Bad Neuenahr-Ahrweiler prohibited,2021-07-14T22:04,,EXACT,OBSERVED,COMPLETED,ACCESS_PREVENTION,ORDER,GSTA-KO-20251027,IV.4.b,Contained in the same order
AHR2021,KREIS,T_public_order_transmission,District administrator notified in person and by telephone,2021-07-14T22:15,,APPROXIMATE,OBSERVED,COMPLETED,HORIZONTAL_EVACUATION,ORDER,DE-LT-RLP-UA18-1,PDF p.1162-1163,Witnesses S.H. and M.L.A. [Secondhand extraction: the original inquiry report was not directly audited]
AHR2021,KREIS,T_public_order_pressemeldung,Second press release including the 50 m evacuation instruction,2021-07-14T22:30,2021-07-14T22:45,WINDOW,OBSERVED,COMPLETED,HORIZONTAL_EVACUATION,ORDER,DE-LT-RLP-UA18-1,PDF p.1056,[Secondhand extraction: the original inquiry report was not directly audited]
AHR2021,KREIS,katwarn_execution_request,Request to issue the KATWARN alert,2021-07-14T22:37,,EXACT,UNRESOLVED,UNRESOLVED,,,RELAYED_UNVERIFIED,Not located,The location in the original inquiry report was not directly audited; the relayed value is retained as unresolved
AHR2021,KREIS,order_confirmation,Witness Seul confirmed the 50 m decision with the fire chief,2021-07-14T23:00,,APPROXIMATE,OBSERVED,COMPLETED,,,DE-LT-RLP-UA18-1,PDF p.1057,[Secondhand extraction: the original inquiry report was not directly audited]
AHR2021,KREIS,T_public_order_katwarn,KATWARN alert published,2021-07-14T23:09,,EXACT,OBSERVED,COMPLETED,HORIZONTAL_EVACUATION,ORDER,GSTA-KO-20251027,IV.4.b,Diese Anordnung wurde erst um 23:09 Uhr ueber die App KATWARN veroeffentlicht
AHR2021,KREIS,T_public_order_presse,Released to the press,2021-07-14T23:22,,EXACT,OBSERVED,COMPLETED,HORIZONTAL_EVACUATION,ORDER,GSTA-KO-20251027,IV.4.b,um 23:22 Uhr ueber die Presse
AHR2021,KREIS,T_public_order_twitter,Published on Twitter,2021-07-14T23:23,,EXACT,OBSERVED,COMPLETED,HORIZONTAL_EVACUATION,ORDER,GSTA-KO-20251027,IV.4.b,um 23:23 Uhr ueber Twitter
AHR2021,KREIS,T_public_order_facebook,Published on Facebook and the district website,2021-07-14T23:27,,EXACT,OBSERVED,COMPLETED,HORIZONTAL_EVACUATION,ORDER,GSTA-KO-20251027,IV.4.b,um 23:27 Uhr ueber Facebook und auf der Internetseite
AHR2021,KREIS,dissemination_delay_cause,"The staff member responsible for issuing the alert was absent on another deployment; the order had, however, already been forwarded to all local fire control centres",2021-07-14T22:04,2021-07-14T23:09,WINDOW,OBSERVED,,,,GSTA-KO-20251027,IV.4.b,weil der fuer die Umsetzung erforderliche Mitarbeiter wegen eines anderen Einsatzes zeitweise nicht verfuegbar war
AHR2021,KREIS,dissemination_failure_nina,The KATWARN alert was not displayed in the NINA app owing to an interface fault at the operator; this was discovered only weeks later and was unknown to the TEL,2021-07-14,2021-07-15,DATE_ONLY,OBSERVED,NOT_EXECUTED,,,GSTA-KO-20251027,IV.4.b,wegen eines technischen Schnittstellenproblems in der Flutnacht nicht
AHR2021,KREIS,resource_arrival_bundeswehr,Federal forces arrived,2021-07-15T02:00,,EXACT,OBSERVED,COMPLETED,,,DE-LT-RLP-UA18-1,PDF p.1589,Kraefte seien dann um 02.00 Uhr nachts eingetroffen [Secondhand extraction: the original inquiry report was not directly audited]
AHR2021,KREIS,resource_deployment_bundeswehr,,,,UNKNOWN,UNRESOLVED,UNRESOLVED,,,GSTA-KO-20251027|DE-LT-RLP-UA18-1,Three retrieval routes,The time of the first actual operational commitment of federal forces is not recorded; three retrieval routes were exhausted [Secondhand extraction: the original inquiry report was not directly audited]
AHR2021,KREIS,verwaltungsstab_activation,The administrative staff was not activated; the inquiry judged that its activation could have relieved the TEL and enabled use of the flood hazard maps,,,UNKNOWN,OBSERVED,NOT_EXECUTED,,,DE-LT-RLP-UA18-1,PDF p.1525 Rn.5714,Assessment of the inquiry committee [Secondhand extraction: the original inquiry report was not directly audited]
AHR2021,KREIS,dynamic_inundation_model,"No dynamic inundation extent was calculated or transmitted, and no operational map was available",,,UNKNOWN,OBSERVED,NOT_EXECUTED,,,DE-LT-RLP-UA18-1,PDF p.411 Rn.1148,[Secondhand extraction: the original inquiry report was not directly audited]
AHR2021,KREIS,scope_assessment_gissler,The 50 m evacuation line was insufficient; the operational log records no basis for the chosen width or completion time,,,UNKNOWN,OBSERVED,,,,DE-LT-RLP-UA18-1,PDF p.1096 Rn.3910-3912,Die Evakuierungslinie von 50 Metern habe nicht ausgereicht [Secondhand extraction: the original inquiry report was not directly audited]
