Event and locality,Authority,Request,Dispatch,Arrival,Deployment,Field action,Local impact reference,Relation to local impact,Source
"West Japan 2018 — Mabi, Kurashiki",National (Fire and Disaster Management Agency): Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,"Peak shelter population of about 42,000 (peak count) [2018-07-07, date only]","Oda River levee breach, early hours of 2018-07-07",Unresolved,JP-CAO-WG1
Hagibis 2019 — Nationwide,National (Fire and Disaster Management Agency / Self-Defense Forces): Unresolved,Unresolved,"Emergency Fire Response Teams placed on readiness for dispatch [2019-10-12T15:30, exact]",Unresolved,Unresolved,"Peak shelter population exceeding 237,000 (peak count) [October 2019, exact]",Landfall on the Izu Peninsula before 19:00 on 2019-10-12,Pre-impact (readiness for dispatch),JP-CAO-BOUSAI-R02|PRIMARY_SOURCE_SECONDHAND_EXTRACTION(FDMA)
Lekima 2019 — Zhejiang province,"National (State Flood Control HQ) / provincial (Zhejiang Flood Control HQ): State Flood Control HQ raised the response to Level II and directed pre-emptive relocation from at-risk areas and forward positioning of rescue capacity [2019-08-09T16:00, date only]",Unresolved,"Forward positioning of about 36,000 fire and rescue personnel, 8,400 fire vehicles and 1.53 million items of equipment [2019-08-09, date only]","Deployment completed at 48 assembly points [2019-08-09, date only]",Unresolved,"Cumulative total of 42,000 fire personnel, 6,382 rescue operations and 12,447 persons rescued or transported (cumulative count; not first mobilisation) [2019-08-13T16:00 as of, date only]","Landfall at Wenling, 2019-08-10 01:45",Pre-impact (forward positioning),CN-MEM|CN-ZJ-YJT
Black Summer 2019–20 — Whole season (no single event-wide reference),"Federal (Australian Defence Force): Governor-General approved compulsory call-out of reserves (Defence Act 1903, s. 28); an expansion rather than the first mobilisation [2020-01-04, date only]",Unresolved,Unresolved,Unresolved,"Operation Bushfire Assist: 8,236 ADF personnel (including 2,556 reservists) and 469 international personnel [2019-09-06, date only]","Over 1,100 people evacuated from Mallacoota by sea and air (HMAS Choules, MV Sycamore) [early January 2020, date only]",Unresolved (multiple fire phases),Unresolved,AU-RC-NNDA-CH5|CH7
Zhengzhou 2021 — Mountainous districts,National (PLA / armed police): PLA and armed police dispatched on the instruction of the General Secretary,Unresolved,Unresolved,Unresolved,PLA and armed police committed (time not recorded),Unresolved,Over 90% of deaths and disappearances concentrated in 2021-07-20 13:00–15:00,Unresolved,CN-STATECOUNCIL-20220121
Zhengzhou 2021 — Urban core,City (Zhengzhou): Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,"Relocation of 98,000 people downstream of Guojiazui Reservoir; no dam failure or casualties [2021-07-21T00:40 before overtopping, approx.]",Afternoon to evening of 20 July (metro flooded about 17:00; northern tunnel submerged 17:30),Pre-impact (Guojiazui sub-unit),CN-STATECOUNCIL-20220121
Ahr valley 2021 — Altenahr,"Federal (Bundeswehr): Alarmstufe 5 enabled the request for federal forces [2021-07-14T22:04, exact]","TEL alerted the district liaison command; formal request issued [21:00~22:00 / ≤23:15, exact]","im Zulauf [≤2021-07-14T23:15, exact]","Kräfte eingetroffen [2021-07-15T02:00, exact]",Unresolved,Unresolved,"Peak gauge level exceeded, 2021-07-14 18:15",Post-impact,DE-LT-RLP-UA18-1|DE-GSTA-20251027
Ahr valley 2021 — Bad Neuenahr-Ahrweiler,"Federal (Bundeswehr): Same as above [2021-07-14T22:04, exact]","Same as above [21:00~22:00 / ≤23:15, exact]","im Zulauf [≤2021-07-14T23:15, exact]","eingetroffen [2021-07-15T02:00, exact]",Unresolved,Unresolved,"Flood wave reached the town, 2021-07-14 23:00",Post-impact,DE-GSTA-20251027
Ahr valley 2021 — Sinzig,"Federal (Bundeswehr) / local (fire service): Same as above [2021-07-14T22:04, approx.]","Same as above [21:00~22:00 / ≤23:15, approx.]","im Zulauf [≤2021-07-14T23:15, approx.]","Federal forces arrived; Remagen fire service reached In den Ahrwiesen [2021-07-15T02:00, approx.]","Fire-service evacuation task [2021-07-15T02:00, approx.]","About 500 people evacuated (Sportplatz, Grüner Weg, Am Teich, Kripper Straße) [2021-07-15T00:00~02:11, approx.]",Significant discharge reached the area at about 2021-07-15 02:00 (expert reconstruction),Impact-overlapping,DE-GSTA-20251027
BC heat dome 2021 — British Columbia,Health system (PHSA / BC Emergency Health Services): Unresolved,Unresolved,Unresolved,Unresolved,"PHSA 24/7 emergency coordination centre activated; BCEHS managers provided field support and were redeployed [2021-06-25~07-01, date only]",Unresolved,Heat episode 25 June – 1 July; peak mortality 28–29 June; peak emergency calls 28 June,Impact-overlapping,CA-PHSA-BCEHS (DIRECT_PRIMARY_VERIFIED)
